game_id,play_id,defender_id,receiver_id,deception_score,recovery_score
2023110900,282,54504,40488,-0.00236662,-0.09997241
2023110900,1593,53883,55998,0.04801482515000002,-0.2411676
2023110900,1845,55921,55904,0.05571577,-0.20212874
2023110900,2033,53883,46093,-0.06661486084615381,-0.18435845
2023110900,2063,46124,46276,-0.22203780274999996,-0.13926303
2023110900,2088,53883,46093,-0.038301752012820545,0.3232199
2023110900,2229,54504,55904,-0.1967146151764706,0.931296416
2023110900,2479,52458,55014,-0.05161979966666658,-0.20740722
2023110900,2843,52458,53488,-0.006387515333333316,-0.18545803
2023110900,2940,54504,40488,0.09713126100000002,0.66141295
2023110900,3461,54504,53488,0.5128627694999999,0.2096806
2023110900,3853,54513,46094,0.10471046700000003,0.4872512
2023110900,4008,55921,46094,0.08911506267000002,0.715428
2023110900,4163,45004,52581,-0.12197200416666663,-0.069551215
2023111200,1301,55137,56075,-0.171803694,-0.076218545
2023111200,1423,54586,52442,0.5269484037719299,-0.6264802
2023111200,1779,53589,52442,0.07761433774999998,-0.13916375
2023111200,2125,53589,52442,-0.005870916666666642,-0.26691067
2023111200,2655,56086,44874,0.23665581042424239,-0.60297036
2023111200,2900,52493,43324,-0.044620329999999986,0.81645046
2023111200,3017,43700,52442,0.07202042992592594,-0.05738373
2023111200,3227,52493,43324,0.0672786075,0.7061241
2023111200,3498,43522,55944,-0.02413448457777778,-0.53119695
2023111200,3581,53589,52442,0.002950910000000001,-0.1784439
2023111200,3767,52493,56075,0.0927160065,-0.13657163
2023111201,199,44828,53463,-0.09229007215384616,0.882062376
2023111201,293,52452,46155,0.09027644399999996,-0.115686744
2023111201,589,53533,53463,-0.11014169733333334,-0.26003405
2023111201,845,46073,55886,-0.06317837200000001,-0.18345746
2023111201,1629,54533,55886,-0.03552249800000001,-0.41699308
2023111201,1654,54533,55886,-0.11548450933333329,-0.09469178
2023111201,2420,46823,53456,-0.08352118314285714,-0.035505358
2023111201,2477,47846,55886,0.00892612193939396,-0.27410775
2023111201,2644,53533,53463,-0.12003444946666667,-0.10232179
2023111201,3652,44854,42347,0.07649566160869564,-0.10776403
2023111201,3786,47817,53463,-0.20461089439393937,-0.03738475
2023111201,3999,46823,42363,0.209894350625,0.6951335000000001
2023111201,4237,47817,42347,0.6573220006266667,-0.87364787
2023111202,371,54525,55934,-0.08288819533333334,-0.10326816
2023111202,617,46672,43344,0.3563498115555556,0.32037970000000005
2023111202,723,54525,46206,0.4140071857555555,-0.60236216
2023111202,893,54496,55934,0.13804641149999997,0.70869654
2023111202,916,55925,55934,0.3605928086,-0.61403257
2023111202,1262,43641,45052,-0.15011305933333333,-0.05971351
2023111202,1574,54496,46206,0.39773546277575755,-0.42031324
2023111202,1766,44902,53434,0.0033047388749999906,-0.20180759
2023111202,1956,55960,45052,-0.03815391216666669,-0.1350192
2023111202,2011,43641,46461,0.10509976233333335,-0.25179946
2023111202,2367,44872,55934,0.38212377671428555,0.35184747000000005
2023111202,2835,46672,46797,-0.16725584453846154,-0.10084656
2023111202,2860,46672,43344,-0.04615970400000001,-0.06711189
2023111202,3277,55925,55934,0.13494611350000008,0.54193512
2023111202,3441,42441,43344,0.2233312059428572,-0.47602522
2023111202,3784,42441,53434,0.08479531270000001,0.73125827
2023111203,336,53609,44835,0.07651989111111115,-0.23281807
2023111203,412,53462,52433,0.23590366197142856,-0.3388343
2023111203,515,53462,44959,0.4034709986111112,0.24534029999999996
2023111203,538,46700,52625,-0.0494589,-0.1742797
2023111203,1198,44926,40078,0.050381087812499975,0.87788453
2023111203,1519,53601,46116,-0.06291815972727272,-0.24586007
2023111203,2274,53531,46095,0.3265042967904762,-0.24393038
2023111203,2434,54662,47819,0.124287433,-0.3868436
2023111203,2758,53531,46116,-0.09198801170588233,-0.14249405
